name,time,date,price
bitcoin,13:56:19.622114,2024-11-06,73403.8
etherum,13:56:19.622114,2024-11-06,2618
tether,13:56:19.622114,2024-11-06,371.98
binancecoin,13:56:19.622114,2024-11-06,69.46
